speed,height,weight,bfpa
0.889,168,56.1,7.894
0.778,183.5,65.6,2.294
0.806,159,69.9,4.1
0.833,190,68.8,7.647
0.750,171,77.3,9.569
0.722,175,69.9,13.786
0.750,171,65,5.952
0.722,174,76.1,-1.668
0.806,158,60.3,5.039
0.806,168,52.9,12.832
0.778,179,77.5,3.494
0.667,171,75.4,3.182
0.861,190,81.1,3.494
0.750,161,62.6,4.889
0.722,172,61.6,15.737
0.778,165,56.6,8.095
0.806,180,74.9,1.561
0.694,163,77.3,8.505
0.750,160.5,41.5,9.614
0.889,196,82,-1.095
0.750,161,58.6,6.671
0.722,174,71.2,-2.013
0.778,155,50.2,2.604
0.722,173,76.9,12.035
0.667,168,56.5,7.471
0.722,162,49.2,1.44
0.694,173,84.2,4.356
0.861,177,66.5,5.091
0.861,174,60.2,-0.754
0.833,181,69,3.075
0.806,175,69.4,7.492
0.694,161,58.2,0.0614
0.806,181,75.8,5.246
0.778,180,72.1,-0.302
0.833,171,111.1,-3.246
0.778,172,67.3,8.612
